# timestamp tx ty tz qx qy qz qw
1305031452.791720 1.347047 0.725497 1.582155 0.000079 0.000105 0.000094 1.000000
1305031452.891726 1.341439 0.732974 1.579164 0.007916 0.012253 0.051148 0.998585
1305031452.991647 1.339577 0.735031 1.579557 0.006452 0.022694 0.055841 0.998161
1305031453.023650 1.337093 0.734313 1.576626 0.012712 0.034569 0.055969 0.997753
1305031453.059754 1.335376 0.734047 1.575940 0.014826 0.048386 0.057954 0.997036
1305031453.123633 1.332637 0.732593 1.574273 0.021112 0.077488 0.059199 0.995010
1305031453.191726 1.329901 0.732178 1.573291 0.023922 0.102395 0.058206 0.992751
1305031453.291696 1.326381 0.730722 1.569555 0.026564 0.136642 0.069640 0.987812
1305031453.359684 1.322036 0.729418 1.564826 0.036716 0.156930 0.089103 0.982897
1305031453.423683 1.318916 0.730283 1.561177 0.040620 0.162812 0.112357 0.979397
1305031453.727652 1.299964 0.714659 1.537553 0.115271 0.167413 0.136582 0.969552
1305031453.759694 1.298768 0.708641 1.535121 0.119763 0.163428 0.126184 0.971095
1305031453.827773 1.295587 0.701149 1.534543 0.127656 0.152360 0.107194 0.974166
1305031453.891710 1.293697 0.692303 1.534786 0.128387 0.130321 0.088512 0.979132
1305031453.927723 1.292431 0.689502 1.534768 0.126347 0.112379 0.083955 0.982018
1305031453.959641 1.291974 0.688848 1.537449 0.123543 0.096320 0.073743 0.984897
1305031454.027662 1.292084 0.679616 1.537415 0.124010 0.065224 0.049298 0.988907
1305031454.059654 1.291423 0.675678 1.537617 0.123990 0.056312 0.034908 0.990069
1305031454.091651 1.291363 0.670263 1.538404 0.122649 0.049905 0.016822 0.991052
1305031454.127701 1.290564 0.665320 1.537510 0.126385 0.039661 -0.001228 0.991187
1305031454.159672 1.289478 0.661515 1.538735 0.126891 0.027481 -0.017098 0.991388
1305031454.191658 1.290236 0.657193 1.541544 0.122507 0.016176 -0.034538 0.991735
1305031454.227671 1.291969 0.653823 1.542325 0.121407 0.001467 -0.057949 0.990909
1305031454.259627 1.288749 0.651637 1.541013 0.128692 -0.009198 -0.076812 0.988663
1305031454.291639 1.287399 0.646966 1.542212 -0.496922 0.079411 -0.113385 0.856683
1305031454.327699 1.286872 0.642550 1.544470 -0.501263 0.062469 -0.127912 0.853505
1305031454.359636 1.286507 0.638213 1.543588 -0.496715 0.045811 -0.140817 0.855188
1305031454.427465 1.238359 0.491264 1.590632 -0.497994 0.015628 -0.161228 0.851917
1305031454.491617 1.236794 0.455523 1.589110 -0.499436 -0.014540 -0.187663 0.845657
1305031455.491637 1.336823 0.187923 1.484406 -0.585153 0.042059 -0.074674 0.806382
1305031456.491677 0.889910 -0.072548 1.690798 -0.576130 0.249202 -0.110583 0.770548
1305031457.491705 0.549955 -0.228844 1.543829 -0.549365 0.464824 0.009341 0.694298
1305031454.427465 1.238359 0.491264 1.590632 0.931917 -0.168433 0.106861 -0.302888
1305031454.491617 1.236794 0.455523 1.589110 0.938490 -0.127998 0.107312 -0.302222
1305031455.491637 1.336823 0.187923 1.484406 0.945669 -0.237943 0.037594 -0.218356
1305031456.491677 0.889910 -0.072548 1.690798 0.899739 -0.362792 0.192805 -0.147238
1305031457.491705 0.549955 -0.228844 1.543829 0.781089 -0.572991 0.237828 -0.070839
1305031458.491696 0.035957 -0.230380 1.598852 0.689781 -0.594972 0.374824 -0.172387
1305031458.527737 0.042829 -0.272669 1.605663 0.685624 -0.583620 0.391480 -0.189872
1305031458.591641 0.024467 -0.302218 1.572620 0.678067 -0.569001 0.420650 -0.198788
