# timestamp tx ty tz qx qy qz qw
1305031452.791720 0.000126 0.000013 0.000021 0.000079 0.000105 0.000094 1.000000
1305031452.891726 0.033450 0.020950 -0.007170 0.007916 0.012253 0.051148 0.998585
1305031452.991647 0.041657 0.028403 -0.004409 0.006452 0.022694 0.055841 0.998161
1305031453.023650 0.041706 0.037618 -0.017409 0.012712 0.034569 0.055969 0.997753
1305031453.059754 0.041530 0.044397 -0.020870 0.014826 0.048386 0.057954 0.997036
1305031453.123633 0.037632 0.055146 -0.029547 0.021112 0.077488 0.059199 0.995010
1305031453.191726 0.037298 0.065987 -0.034613 0.023922 0.102395 0.058206 0.992751
1305031453.291696 0.035266 0.079229 -0.051748 0.026564 0.136642 0.069640 0.987812
1305031453.359684 0.034830 0.095483 -0.072949 0.036716 0.156930 0.089103 0.982897
1305031453.423683 0.041904 0.106860 -0.087642 0.040620 0.162812 0.112357 0.979397
1305031453.727652 0.002897 0.177921 -0.200477 0.115271 0.167413 0.136582 0.969552
1305031453.759694 -0.018826 0.182679 -0.215623 0.119763 0.163428 0.126184 0.971095
1305031453.827773 -0.047625 0.196276 -0.225238 0.127656 0.152360 0.107194 0.974166
1305031453.891710 -0.082741 0.205054 -0.232356 0.128387 0.130321 0.088512 0.979132
1305031453.927723 -0.093656 0.210516 -0.235186 0.126347 0.112379 0.083955 0.982018
1305031453.959641 -0.098433 0.213325 -0.225221 0.123543 0.096320 0.073743 0.984897
1305031454.027662 -0.135216 0.213933 -0.233176 0.124010 0.065224 0.049298 0.988907
1305031454.059654 -0.150960 0.217143 -0.235922 0.123990 0.056312 0.034908 0.990069
1305031454.091651 -0.173189 0.218266 -0.237418 0.122649 0.049905 0.016822 0.991052
1305031454.127701 -0.191992 0.221793 -0.245414 0.126385 0.039661 -0.001228 0.991187
1305031454.159672 -0.207989 0.227045 -0.244103 0.126891 0.027481 -0.017098 0.991388
1305031454.191658 -0.227707 0.225383 -0.236388 0.122507 0.016176 -0.034538 0.991735
1305031454.227671 -0.242109 0.218990 -0.235636 0.121407 0.001467 -0.057949 0.990909
1305031454.259627 -0.249136 0.231892 -0.243665 0.128692 -0.009198 -0.076812 0.988663
1305031454.291639 -0.268514 0.238310 -0.243274 -0.496922 0.079411 -0.113385 0.856683
1305031454.327699 -0.287910 0.241697 -0.238210 -0.501263 0.062469 -0.127912 0.853505
1305031454.359636 -0.304390 0.243396 -0.245515 -0.496715 0.045811 -0.140817 0.855188
1305031454.427465 -0.328176 0.248705 -0.253344 -0.497994 0.015628 -0.161228 0.851917
1305031454.491617 -0.346942 0.257429 -0.260761 -0.499436 -0.014540 -0.187663 0.845657
1305031455.491637 -0.424294 0.361754 -0.402823 -0.585153 0.042059 -0.074674 0.806382
1305031456.491677 -0.712307 0.375573 -0.219152 -0.576130 0.249202 -0.110583 0.770548
1305031457.491705 -0.825094 0.552047 -0.093150 -0.549365 0.464824 0.009341 0.694298
1305031454.427465 -0.920792 0.471355 -0.197764 0.931917 -0.168433 0.106861 -0.302888
1305031454.491617 -1.061669 0.481345 -0.234692 0.938490 -0.127998 0.107312 -0.302222
1305031455.491637 -2.058354 0.071713 -0.849074 0.945669 -0.237943 0.037594 -0.218356
1305031456.491677 -3.188733 1.984701 -0.382422 0.899739 -0.362792 0.192805 -0.147238
1305031457.491705 -3.626697 3.335559 -1.200406 0.781089 -0.572991 0.237828 -0.070839
1305031458.491696 -3.585940 5.441571 -1.135126 0.689781 -0.594972 0.374824 -0.172387
1305031458.527737 -3.761437 5.420777 -1.141995 0.685624 -0.583620 0.391480 -0.189872
1305031458.591641 -3.848137 5.487964 -1.303955 0.678067 -0.569001 0.420650 -0.198788
